"","logFC","CI.L","CI.R","AveExpr","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","P value","Adjusted P value","negLog10rawP","negLog10adjP","sig.pval.fct","sig.FDR.fct"
"Q80SW1_Ahcyl1_1409",-0.325528560058974,-0.423855727430903,-0.227201392687044,22.0568571488889,-6.73756404307318,7.05442721969343,1.16347257814025e-07,1.73321430454914e-06,0,0,1.16347257814025e-07,1.73321430454914e-06,6.93424384813377,5.76114773530745,"nonDE","nonDE"
"P61922_Abat_1410",-0.601858683621643,-0.919314860496553,-0.284402506746733,22.058104963759,-3.85908403659889,-1.25853305199364,0.000508567908927925,0.00251671448082483,0,0,0.000508567908927925,0.00251671448082483,3.29365104765073,2.59916605200658,"nonDE","nonDE"
"Q01279_Egfr_1411",0.974780025308167,0.490521355994859,1.45903869462147,20.9727289925168,4.09739722850528,-0.603897974096697,0.000259666859273765,0.0014212826198886,0,0,0.000259666859273765,0.0014212826198886,3.58558347491038,2.84731955468764,"nonDE","nonDE"
"Q8VCT4_Ces1d_1412",0.297615320142061,0.113178323031564,0.482052317252558,24.3741599631662,3.28393519313562,-2.77017775350307,0.00244109569164853,0.00934406165412485,0,0,0.00244109569164853,0.00934406165412485,2.61241519578135,2.02946430465399,"nonDE","nonDE"
"Q9Z1J3_Nfs1_1413",-0.0227546470539721,-0.257614930743722,0.212105636635778,23.3840594214432,-0.197179423203403,-7.5387671368737,0.844906829512351,0.898356574569518,0,0,0.844906829512351,0.898356574569518,0.0731911794048564,0.0465512494899712,"nonDE","nonDE"
"Q9CYG7_Tomm34_1414",0.201555899844372,-0.230159231006081,0.633271030694826,20.8636476644646,0.950335816413682,-7.10087902876669,0.348940840468187,0.494545023099342,0,0,0.348940840468187,0.494545023099342,0.457248197212929,0.305794164342807,"nonDE","nonDE"
"P28063_Psmb8_1415",0.0996669705441562,-0.0252475584558928,0.224581499544205,21.8254790368662,1.62377421350669,-6.25570150911325,0.11401190341719,0.208672831460214,0,0,0.11401190341719,0.208672831460214,0.943049803764173,0.68053409101592,"nonDE","nonDE"
"P09813_Apoa2_1416",1.11250547676685,0.3088153435786,1.91619560995509,26.8097556997374,2.81768456819579,-3.90814171219949,0.00815728476778248,0.0253489816977326,1,1,0.00815728476778248,0.0253489816977326,2.08845437636909,1.59603948216647,"upReg","upReg"
"Q8VDJ3_Hdlbp_1417",0.187442583791057,0.0636387748923881,0.311246392689726,21.9106683282128,3.08121208962062,-3.27614462598702,0.00415891792152947,0.0145160299435026,0,0,0.00415891792152947,0.0145160299435026,2.38101965058447,1.83815214461281,"nonDE","nonDE"
"Q03734_Serpina3m_1418",0.732911524990271,0.306790711304378,1.15903233867616,20.9862835634924,3.50104470027844,-2.21400218174186,0.00136723282576979,0.00566901415563085,0,0,0.00136723282576979,0.00566901415563085,2.86415752322504,2.2464924585665,"nonDE","nonDE"
"Q9CR42_Ankrd1_1419",-0.478606303829917,-1.18132254678099,0.22410993912116,17.611302348982,-1.38636400729692,-6.59899231565747,0.175053672504398,0.293278326688528,0,0,0.175053672504398,0.293278326688528,0.756828773606951,0.532720030259695,"nonDE","nonDE"
"Q93092_Taldo1_1420",-0.00616574966690919,-0.149621126829613,0.137289627495795,27.3666675890491,-0.0874694496138723,-7.55480449502372,0.930831031328193,0.958013418995185,0,0,0.930831031328193,0.958013418995185,0.0311291469689353,0.0186284076701551,"nonDE","nonDE"
"P40630_Tfam_1421",0.115016961858409,-0.01726878915705,0.247302712873867,23.9398762932482,1.76944130774083,-6.02230200261442,0.0861324348364312,0.168191038295464,0,0,0.0861324348364312,0.168191038295464,1.06483327574819,0.774197148386595,"nonDE","nonDE"
"Q571I9_Aldh16a1_1422",0.160448753453828,-0.0522606946789956,0.373158201586651,20.1749183690812,1.53510082051743,-6.38942470398246,0.134364774753105,0.237355867381708,0,0,0.134364774753105,0.237355867381708,0.871714571575824,0.62460002815458,"nonDE","nonDE"
"P02469_Lamb1_1423",-0.908215837708134,-1.11781432186809,-0.698617353548175,22.2002050700877,-8.81836906340267,12.8585616100689,3.65564170635909e-10,1.82151802265134e-08,0,0,3.65564170635909e-10,1.82151802265134e-08,9.4370363765532,7.73956652735959,"nonDE","nonDE"
"Q8CEI1_Bola3_1424",-0.127414075156967,-0.417299188932959,0.162471038619025,19.6272868611493,-0.894646786636787,-7.15234648653235,0.377532698202455,0.519309613424605,0,0,0.377532698202455,0.519309613424605,0.42304542805091,0.284573637700315,"nonDE","nonDE"
"Q5FW52_Mlip_1425",0.0435071879286326,-0.155138766324053,0.242153142181318,22.4914292035616,0.445726675996867,-7.45694857263542,0.65872756051847,0.760880355674812,0,0,0.65872756051847,0.760880355674812,0.181294165720938,0.118683628321792,"nonDE","nonDE"
"Q9QZ23_Nfu1_1426",-0.172791137358761,-0.278964541318117,-0.066617733399405,23.0923202075963,-3.31202082901743,-2.69877639640461,0.00226506890503796,0.0087631179860237,0,0,0.00226506890503796,0.0087631179860237,2.64491858189725,2.0573413409561,"nonDE","nonDE"
"Q9JK48_Sh3glb1_1427",-0.130306832131883,-0.337191712356073,0.0765780480923081,22.7689936321589,-1.28181624678658,-6.73493368914136,0.208907970459989,0.334114020270818,0,0,0.208907970459989,0.334114020270818,0.680044990078299,0.476105299882683,"nonDE","nonDE"
"Q62422_Ostf1_1428",-0.0571209725096686,-0.320487087119398,0.206245142100061,21.674721415876,-0.441432464993162,-7.45888800347087,0.661808047874607,0.764016369821997,0,0,0.661808047874607,0.764016369821997,0.179267955933673,0.116897336126927,"nonDE","nonDE"
"Q80TV8_Clasp1_1429",0.0111765772904135,-0.212693946235569,0.235047100816396,20.6622968854714,0.101602917396537,-7.55343155548281,0.919691661084283,0.949592318875876,0,0,0.919691661084283,0.949592318875876,0.0363577512791009,0.0224628069887154,"nonDE","nonDE"
"Q8R3V5_Sh3glb2_1430",-0.179362294393712,-0.357915268763076,-0.000809320024348498,20.9735077657421,-2.04433186910988,-5.53775381406335,0.0490292328013077,0.105663298132572,0,0,0.0490292328013077,0.105663298132572,1.30954490244555,0.9760758375406,"nonDE","nonDE"
"Q9JIF0_Prmt1_1431",0.314619083332051,0.0239768783534251,0.605261288310677,20.7324223868683,2.20336525044021,-5.23315939913546,0.0347455624504216,0.0809143235146804,0,0,0.0347455624504216,0.0809143235146804,1.45910065370284,1.09197459244502,"nonDE","nonDE"
"E9Q0F0_Krt78_1432",-0.683291834529054,-1.94418984746067,0.577606178402559,20.6326805610786,-1.1030752058155,-6.94476995502769,0.278078479478914,0.41618167047854,0,0,0.278078479478914,0.41618167047854,0.55583261992836,0.380717050951206,"nonDE","nonDE"
"Q9CQI3_Gmfb_1433",-0.0159564350310539,-0.1399745093746,0.108061639312492,23.3049017493899,-0.261841344241135,-7.52353969009837,0.795083677221143,0.858068135385259,0,0,0.795083677221143,0.858068135385259,0.0995871623585782,0.0664782253832627,"nonDE","nonDE"
"Q9DBS5_Klc4_1434",-0.436079740077041,-0.741383186582773,-0.130776293571309,19.2407780601558,-2.90739392599904,-3.69721365699041,0.00650995325970216,0.0208116868590036,0,0,0.00650995325970216,0.0208116868590036,2.18642212957717,1.68169271729599,"nonDE","nonDE"
"P00397_Mtco1_1435",-0.256492586210381,-0.416867327777645,-0.0961178446431177,25.4189289563385,-3.25481406706588,-2.84388800442111,0.00263740113640555,0.00995050820393218,0,0,0.00263740113640555,0.00995050820393218,2.57882381101871,2.00215473789476,"nonDE","nonDE"
"Q62167_Ddx3x_1436",-0.109825082567564,-0.254791688554234,0.0351415234191052,23.14020098312,-1.54177466384733,-6.37958524139839,0.132736863917104,0.235054863186538,0,0,0.132736863917104,0.235054863186538,0.877008447350792,0.628830759012087,"nonDE","nonDE"
"P56959_Fus_1437",-0.786667786957874,-1.00282957103797,-0.570506002877779,20.3442437613161,-7.40627421975506,8.96944508649152,1.73144626804639e-08,3.65246694500298e-07,0,0,1.73144626804639e-08,3.65246694500298e-07,7.76159098136144,6.4374137057613,"nonDE","nonDE"
"O35345_Kpna6_1438",-0.406212355248599,-0.589314251746919,-0.223110458750278,18.9312455629379,-4.51489467478894,0.579387348317043,7.75169579244292e-05,0.00049453423488212,0,0,7.75169579244292e-05,0.00049453423488212,4.11060327907594,3.30580363833222,"nonDE","nonDE"
"Q91VC9_Ghitm_1439",-0.351264039653199,-0.490677148208381,-0.211850931098016,25.0227459087569,-5.1276387147413,2.35054206542064,1.29128505574611e-05,0.00010541846924029,0,0,1.29128505574611e-05,0.00010541846924029,4.88897787510606,3.9770832943753,"nonDE","nonDE"
"E9Q6D8_C6_1440",0.778281165900331,0.374512846584998,1.18204948521567,21.2160715253833,3.92358561036366,-1.08290303179537,0.000424517298617806,0.00217978198193972,0,0,0.000424517298617806,0.00217978198193972,3.37210460803207,2.66158694161349,"nonDE","nonDE"
"Q8BND5_Qsox1_1441",0.801406844658228,0.401632470831192,1.20118121848526,21.0463411095356,4.08053350350287,-0.650672444713353,0.000272411948526926,0.00148261870290549,0,0,0.000272411948526926,0.00148261870290549,3.56477384732641,2.82897052565134,"nonDE","nonDE"
"Q8CAK1_Iba57_1442",0.386960903806568,0.222765812201822,0.551155995411313,22.959577182137,4.79616654865088,1.38769341416263,3.4147818466141e-05,0.00024367208732629,0,0,3.4147818466141e-05,0.00024367208732629,4.46663703600528,3.6131942164634,"nonDE","nonDE"
"Q7TPR4_Actn1_1443",-0.0840175877066969,-0.32810189776111,0.160066722347716,24.2384846116252,-0.700546981859285,-7.30840354822519,0.488539187979186,0.620244705579209,0,0,0.488539187979186,0.620244705579209,0.311100593786543,0.20743693418602,"nonDE","nonDE"
