TNFR_name,partner_ID,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
TNFRSF1A,MAP3K7,9606,0.993,0,0.0,0,0.0,0.872,0.9,0.518
TNFRSF1A,GRN,9606,0.993,0,0.0,0,0.126,0.41700000000000004,0.0,0.988
TNFRSF1A,TRAF6,9606,0.993,0,0.0,0,0.062,0.287,0.9,0.914
TNFRSF1A,FASLG,9606,0.991,0,0.0,0,0.0,0.579,0.0,0.9790000000000001
TNFRSF1A,TAB2,9606,0.988,0,0.0,0,0.0,0.6779999999999999,0.9,0.6679999999999999
TNFRSF1A,RNF31,9606,0.987,0,0.0,0,0.0,0.7909999999999999,0.6,0.858
TNFRSF1A,TANK,9606,0.986,0,0.0,0,0.0,0.6779999999999999,0.9,0.609
TNFRSF1A,MADD,9606,0.986,0,0.0,0,0.0,0.27,0.9,0.823
TNFRSF1A,RFK,9606,0.982,0,0.0,0,0.0,0.49700000000000005,0.0,0.9670000000000001
TNFRSF1A,CASP2,9606,0.976,0,0.0,0,0.0,0.27,0.9,0.6970000000000001
TNFRSF1A,FAS,9606,0.975,0,0.0,0,0.062,0.287,0.8,0.841
TNFRSF1A,TRAF5,9606,0.975,0,0.0,0,0.062,0.064,0.8,0.877
TNFRSF1A,NFKBIA,9606,0.9740000000000001,0,0.0,0,0.062,0.0,0.9,0.746
TNFRSF1A,GNB2L1,9606,0.972,0,0.0,0,0.0,0.213,0.9,0.682
TNFRSF1A,RBCK1,9606,0.972,0,0.0,0,0.062,0.8640000000000001,0.6,0.519
TNFRSF1A,SMPD3,9606,0.968,0,0.0,0,0.0,0.0,0.9,0.695
TNFRSF1A,MOAP1,9606,0.9670000000000001,0,0.0,0,0.0,0.213,0.0,0.96
TNFRSF1A,MAP3K1,9606,0.966,0,0.0,0,0.0,0.0,0.9,0.6779999999999999
TNFRSF1A,SMPD2,9606,0.965,0,0.0,0,0.062,0.0,0.9,0.66
TNFRSF1A,IL10,9606,0.965,0,0.0,0,0.0,0.0,0.9,0.6709999999999999
TNFRSF1A,RELA,9606,0.965,0,0.0,0,0.065,0.0,0.9,0.66
